ID,Period,Match clock,Video time (s),Action,Team,Player,Second player,Successful,X (m),Y (m),End X (m),End Y (m),Norm X,Norm Y,Norm end X,Norm end Y,Goal X (m),Goal Y (m),Miss,On target,Pass outcome,xG,xT
a16baa83-4f1b-4435-8008-ff1c1e0d7939,2nd half,29:50,1790.4,Pass,Team Sempu,Bartek,Wojtunia,0,6.39,21.62,5.98,28.56,98.61,46.38,99.02,39.44,,,,,intercepted,,
154460de-7a73-4485-ad84-11c12fed131f,2nd half,29:52,1792.42,Pass,Team Matto,Wojtunia,,1,5.98,28.15,3.12,21.22,5.98,28.15,3.12,21.22,,,,,,,-0.001
66e664ba-c4de-4e9e-b7f7-15f7630b9c7c,2nd half,29:53,1793.63,Clearance,Team Matto,Dawid,,0,2.72,20.81,,,2.72,20.81,,,,,,,,,
a3f80e87-e524-46a7-a321-d486cddf1fb4,2nd half,29:56,1796.91,Shot,Team Sempu,Sempu,,0,20.34,40.2,,,84.66,27.8,,,3.31,0.25,,1,,0.076,
78eec820-1408-4000-87de-c39236644aa9,2nd half,29:58,1798.22,Save,Team Matto,Tomek E,,1,0.27,34.68,,,0.27,34.68,,,,,,,,,
bf45cd55-8760-4bd7-aa42-da0d860f557f,2nd half,30:00,1800.24,Clearance,Team Matto,Mateusz,,0,8.43,39.99,,,8.43,39.99,,,,,,,,,
d4989b3d-e315-41ad-99eb-83d9c2c4416e,2nd half,30:03,1803.44,Dribble,Team Sempu,Matto,Krzysiek K,0,17,35.5,,,88,32.5,,,,,,,,,
ce22813e-3c66-4b68-bf96-8d080b542156,2nd half,30:05,1805.8,Clearance,Team Matto,Krzysiek K,,0,17,33.46,,,17,33.46,,,,,,,,,
fc9b5430-9b10-42c5-b9a1-eb96822018df,2nd half,30:06,1806.94,Pass,Team Sempu,Wojtek,Krzysiek K,0,30.06,26.52,19.04,30.6,74.94,41.48,85.96,37.4,,,,,intercepted,,
37d1b3c1-3286-4445-a3c5-25e57166069f,2nd half,30:10,1810.68,Pass,Team Matto,Krzysiek K,,1,23.53,28.56,56.99,31.83,23.53,28.56,56.99,31.83,,,,,,,0.007
b62409c6-4593-4550-92b8-0c1479fe1754,2nd half,30:22,1822.79,Pass,Team Matto,Michał W,,1,90.45,41.62,87.19,33.05,90.45,41.62,87.19,33.05,,,,,,,-0.073
9fa09018-4408-42f5-a87f-034d3f67492e,2nd half,30:24,1824.31,Key pass,Team Matto,Marek,,1,86.37,33.05,91.27,40.8,86.37,33.05,91.27,40.8,,,,,,,0.073
b11d2428-f45c-4a4e-9223-23879d08df67,2nd half,30:26,1826.74,Shot,Team Matto,Michał W,,0,92.49,42.44,,,92.49,42.44,,,6.71,1.4,,1,,0.287,
cbbbbf29-1c3f-484d-bcdb-218ae4642f2d,2nd half,30:28,1828.69,Save,Team Sempu,Kroma,,1,104.73,36.31,,,0.27,31.69,,,,,,,,,
6bc3ea74-6933-4a91-b5a8-44a3996a26ff,2nd half,30:59,1859.39,Pass,Team Matto,Marek,,1,105,65.7,81.88,25.3,105,65.7,81.88,25.3,,,,,,,-0.009
